sku,attribute_set_code,product_type,additional_attributes
EVCT,Migration_Default,simple,offline_product=No
WB01,Migration_Default,simple,offline_product=No
PSB01,Migration_Default,simple,offline_product=No
EVCS,Migration_Default,simple,offline_product=No
EVCBS,Migration_Default,simple,offline_product=No
8800201,Migration_Default,simple,offline_product=Yes
8800206,Migration_Default,simple,offline_product=Yes
8800306,Migration_Default,simple,offline_product=Yes
amateur-competition-jersey,Migration_Default,configurable,offline_product=No
8800606,Migration_Default,simple,offline_product=Yes
4800002,Migration_Default,simple,offline_product=Yes
4800102,Migration_Default,simple,offline_product=No
4800202,Migration_Default,simple,offline_product=Yes
4800302,Migration_Default,simple,offline_product=No
4800402,Migration_Default,simple,offline_product=Yes
4800502,Migration_Default,simple,offline_product=No
4800001,Migration_Default,simple,offline_product=No
4800101,Migration_Default,simple,offline_product=Yes
4800201,Migration_Default,simple,offline_product=No
4800301,Migration_Default,simple,offline_product=Yes
4800401,Migration_Default,simple,offline_product=No
4800501,Migration_Default,simple,offline_product=Yes
lightweight-performance-gi,Migration_Default,configurable,offline_product=No
2200057,Migration_Default,simple,offline_product=No
2200157,Migration_Default,simple,offline_product=No
2200257,Migration_Default,simple,offline_product=No
2200357,Migration_Default,simple,offline_product=No
2200457,Migration_Default,simple,offline_product=No
2200055,Migration_Default,simple,offline_product=No
2200155,Migration_Default,simple,offline_product=No
2200255,Migration_Default,simple,offline_product=No
2200355,Migration_Default,simple,offline_product=No
2200455,Migration_Default,simple,offline_product=No
2200056,Migration_Default,simple,offline_product=No
2200156,Migration_Default,simple,offline_product=No
2200256,Migration_Default,simple,offline_product=No
2200356,Migration_Default,simple,offline_product=No
2200456,Migration_Default,simple,offline_product=No
powerlock-laced-training-gloves,Migration_Default,configurable,offline_product=No
2200557,Migration_Default,simple,offline_product=No
2200657,Migration_Default,simple,offline_product=No
2200757,Migration_Default,simple,offline_product=No
2200857,Migration_Default,simple,offline_product=No
2200957,Migration_Default,simple,offline_product=No
2200555,Migration_Default,simple,offline_product=No
2200655,Migration_Default,simple,offline_product=No
2200755,Migration_Default,simple,offline_product=No
2200855,Migration_Default,simple,offline_product=No
2200955,Migration_Default,simple,offline_product=No
2200556,Migration_Default,simple,offline_product=No
2200656,Migration_Default,simple,offline_product=No
2200756,Migration_Default,simple,offline_product=No
2200856,Migration_Default,simple,offline_product=No
2200956,Migration_Default,simple,offline_product=No
powerlock-hook-and-loop-training-gloves,Migration_Default,configurable,offline_product=No
3003,Migration_Default,simple,offline_product=No
280801,Migration_Default,simple,offline_product=No
281101,Migration_Default,simple,offline_product=No
280800,Migration_Default,simple,offline_product=No
281000,Migration_Default,simple,offline_product=No
281100,Migration_Default,simple,offline_product=No
protex3-professional-fight-gloves,Migration_Default,configurable,offline_product=No
247001,Migration_Default,simple,offline_product=Yes
241001,Migration_Default,simple,offline_product=No
leather-heavy-bag,Migration_Default,configurable,offline_product=No
7800108,Migration_Default,simple,offline_product=Yes
7800109,Migration_Default,simple,offline_product=Yes
7800110,Migration_Default,simple,offline_product=Yes
7800111,Migration_Default,simple,offline_product=Yes
performance-velocity-running-tight,Migration_Default,configurable,offline_product=No
brandon-bam-bam-rios-t-shirt,Migration_Default,configurable,offline_product=No
2800055,Migration_Default,simple,offline_product=Yes
2800155,Migration_Default,simple,offline_product=No
2800255,Migration_Default,simple,offline_product=No
2800355,Migration_Default,simple,offline_product=No
2800455,Migration_Default,simple,offline_product=No
2800056,Migration_Default,simple,offline_product=Yes
2800156,Migration_Default,simple,offline_product=Yes
2800256,Migration_Default,simple,offline_product=Yes
2800356,Migration_Default,simple,offline_product=Yes
2800456,Migration_Default,simple,offline_product=Yes
submission-rip-stop-shorts,Migration_Default,configurable,offline_product=No
2800655,Migration_Default,simple,offline_product=Yes
2800755,Migration_Default,simple,offline_product=Yes
2800855,Migration_Default,simple,offline_product=No
2800955,Migration_Default,simple,offline_product=No
2801055,Migration_Default,simple,offline_product=No
2800656,Migration_Default,simple,offline_product=Yes
2800756,Migration_Default,simple,offline_product=Yes
2800856,Migration_Default,simple,offline_product=Yes
2800956,Migration_Default,simple,offline_product=Yes
2801056,Migration_Default,simple,offline_product=Yes
mma-shorts,Migration_Default,configurable,offline_product=No
2801255,Migration_Default,simple,offline_product=Yes
